"sale_date","product_unit_sales","discount_amount (Rs.)","mrp_amount (Rs.)","product"
"11/12/2016","742","139502.55","1431688","shirt"
"9/7/2016","462","34927.62","865868","shirt"
"8/30/2016","363","12304.56","688577","shirt"
"3/1/2016","554","38913.96","978426","shirt"
"5/16/2016","322","20591.74","560308","shirt"
"8/28/2016","667","22610.02","1247473","shirt"
"10/1/2016","1134","305548.85","2163376","shirt"
"10/20/2016","656","187758.38","1264104","shirt"
"9/30/2016","474","108006.86","900526","shirt"
"7/22/2016","906","465654.98","1705804","shirt"
"8/3/2016","847","465666.03","1603253","shirt"
"2/27/2016","890","71546.44","1588490","shirt"
"1/15/2016","1345","514390.84","2414165","shirt"
"8/10/2016","776","389151.14","1463804","shirt"
"5/4/2016","558","46283.74","981502","shirt"
"11/27/2016","767","22250.56","1415193","shirt"
"10/10/2016","1154","296864.27","2235266","shirt"
"9/20/2016","355","82859.15","689805","shirt"
"11/4/2016","791","211244.17","1485219","shirt"
"7/6/2016","2011","999141.73","3785429","shirt"
"11/2/2016","635","186554.49","1231025","shirt"
"10/21/2016","800","239816.03","1565250","shirt"
"7/26/2016","789","438803.7","1479361","shirt"
"7/18/2016","1008","585473.24","1900112","shirt"
"10/19/2016","642","181920.71","1246578","shirt"
"1/13/2016","1217","400730.79","2152313","shirt"
"11/25/2016","470","17395.27","878540","shirt"
"3/16/2016","488","37645.64","877942","shirt"
"12/30/2016","1066","325165.12","2085604","shirt"
"2/1/2016","717","164848.36","1305973","shirt"
"8/23/2016","301","10866.12","559709","shirt"
"4/6/2016","545","15269.45","977345","shirt"
"2/28/2016","1022","78887.44","1803038","shirt"
"4/21/2016","712","21677.38","1281378","shirt"
"11/7/2016","652","176319.04","1261018","shirt"
"7/2/2016","2896","1533403.62","5457664","shirt"
"8/15/2016","3142","1802685.27","5947358","shirt"
"1/23/2016","1681","786009.27","3057369","shirt"
"6/25/2016","981","435152.88","1846189","shirt"
"10/31/2016","1326","390497.56","2523854","shirt"
"11/6/2016","1476","430955.75","2797274","shirt"
"10/27/2016","1505","451465.52","2943195","shirt"
"8/1/2016","729","387462.15","1376881","shirt"
"7/21/2016","903","482699.25","1703237","shirt"
"12/9/2016","382","11612.65","732818","shirt"
"8/22/2016","257","9718.13","478133","shirt"
"9/24/2016","811","210637.83","1561919","shirt"
"2/5/2016","979","347657.32","1753671","shirt"
"4/13/2016","661","25216.61","1191829","shirt"
"5/7/2016","919","15505.22","1611241","shirt"
"3/22/2016","535","45600.74","955245","shirt"
"3/19/2016","769","74164.04","1376081","shirt"
"11/23/2016","517","14872.84","972013","shirt"
"1/16/2016","1534","548393.67","2748226","shirt"
"11/16/2016","453","31293.9","853397","shirt"
"1/21/2016","754","239707.98","1359836","shirt"
"5/24/2016","517","194345.18","949543","shirt"
"6/28/2016","586","274024.67","1104874","shirt"
"6/9/2016","406","75354.18","727304","shirt"
"12/22/2016","407","13825.06","785423","shirt"
"9/6/2016","421","16799.39","798729","shirt"
"5/9/2016","430","16735.9","751360","shirt"
"8/14/2016","3181","1866045.24","5992679","shirt"
"3/31/2016","569","96528.29","1016181","shirt"
"6/18/2016","4564","2651340.42","8665276","shirt"
"1/28/2016","788","196227.33","1410432","shirt"
"4/17/2016","1247","44270.51","2273713","shirt"
"9/25/2016","940","243652.65","1815880","shirt"
"12/5/2016","413","9579.61","816697","shirt"
"5/19/2016","326","20670.12","590104","shirt"
"2/4/2016","850","211759.73","1528310","shirt"
"1/6/2016","782","244206.86","1408658","shirt"
"7/25/2016","840","457787.06","1592310","shirt"
"3/23/2016","499","38972.84","894501","shirt"
"12/2/2016","421","11015.2","813839","shirt"
"9/3/2016","853","37581.65","1602457","shirt"
"5/28/2016","967","392938.71","1771173","shirt"
"7/12/2016","920","416573.67","1721660","shirt"
"10/11/2016","1114","318438.11","2150896","shirt"
"3/28/2016","425","53328.75","774765","shirt"
"3/9/2016","460","33550.74","803580","shirt"
"2/26/2016","623","45119.56","1103487","shirt"
"2/22/2016","600","41975.7","1064090","shirt"
"3/10/2016","525","41279.4","933735","shirt"
"11/15/2016","443","37560","825317","shirt"
"12/25/2016","2073","735735.19","4108817","shirt"
"1/14/2016","1228","420203.13","2191332","shirt"
"5/8/2016","1209","18576.05","2128041","shirt"
"2/25/2016","649","48415.46","1142371","shirt"
"3/6/2016","1096","98994.52","1951664","shirt"
"2/6/2016","1583","593651.4","2854787","shirt"
"7/8/2016","1396","688824.71","2625524","shirt"
"12/15/2016","340","9201.49","645950","shirt"
"9/18/2016","983","249479.66","1892377","shirt"
"2/16/2016","532","27106.56","938198","shirt"
"2/19/2016","615","31102.22","1085345","shirt"
"1/18/2016","779","211551.76","1390061","shirt"
"11/14/2016","557","35972.1","1061203","shirt"
"6/30/2016","1018","498761.42","1929782","shirt"
"7/7/2016","1825","882622.85","3438215","shirt"
"2/17/2016","563","36732.74","995987","shirt"
"10/15/2016","1146","331731.98","2222714","shirt"
"3/26/2016","997","110991.89","1816713","shirt"
"9/17/2016","646","170320.29","1228994","shirt"
"5/25/2016","482","180207.8","869598","shirt"
"5/26/2016","525","198203.09","958675","shirt"
"7/3/2016","3976","1965186.88","7469044","shirt"
"5/12/2016","430","71513.94","751070","shirt"
"4/5/2016","476","14122.39","860424","shirt"
"10/4/2016","663","175836.14","1265007","shirt"
"2/21/2016","1048","56023.54","1869762","shirt"
"6/22/2016","2600","1419157.37","4955850","shirt"
"10/18/2016","678","204019.69","1322812","shirt"
"12/21/2016","432","21881.62","835818","shirt"
"8/12/2016","1042","536737.43","1973808","shirt"
"10/22/2016","1694","539385.27","3294876","shirt"
"10/8/2016","1502","411412.5","2915748","shirt"
"4/7/2016","628","17627.8","1155142","shirt"
"8/26/2016","347","13272.91","641293","shirt"
"6/29/2016","876","435493.38","1646834","shirt"
"1/4/2016","665","208259.2","1185095","shirt"
"4/27/2016","546","22849.1","959544","shirt"
"4/10/2016","1081","28259.26","1979169","shirt"
"2/8/2016","864","311246.72","1556796","shirt"
"1/2/2016","1209","398611.22","2140831","shirt"
"11/10/2016","514","146981.15","993086","shirt"
"11/28/2016","384","9052.51","735426","shirt"
"5/17/2016","322","21263.9","549298","shirt"
"6/17/2016","3428","2021113.45","6555172","shirt"
"9/26/2016","452","121816.64","874508","shirt"
"4/4/2016","449","15199.35","809701","shirt"
"6/13/2016","381","85215.57","673919","shirt"
"3/25/2016","770","56501.23","1393150","shirt"
"6/5/2016","688","109205.58","1237982","shirt"
"7/20/2016","892","473860.64","1676858","shirt"
"9/27/2016","369","90291.64","709661","shirt"
"5/15/2016","927","200624.31","1643563","shirt"
"12/31/2016","1532","560982.56","3003428","shirt"
"1/31/2016","1626","414205.38","2947454","shirt"
"12/13/2016","331","10239.02","620069","shirt"
"6/16/2016","292","37472.4","516888","shirt"
"9/23/2016","488","125436.62","938462","shirt"
"12/10/2016","679","18366.38","1327781","shirt"
"9/21/2016","381","94206.47","739459","shirt"
"3/2/2016","565","47817.58","1003765","shirt"
"10/7/2016","786","201874.02","1529834","shirt"
"6/3/2016","366","50511.25","658444","shirt"
"1/17/2016","1961","776725.58","3544019","shirt"
"4/1/2016","592","23448.72","1073328","shirt"
"6/19/2016","5455","3050382.5","10385765","shirt"
"3/7/2016","627","59108.69","1118163","shirt"
"4/25/2016","508","28733.46","889192","shirt"
"7/1/2016","1224","588650.94","2308336","shirt"
"12/27/2016","1088","399682.51","2122242","shirt"
"4/24/2016","2450","819566.28","4354590","shirt"
"4/14/2016","910","37604.27","1640310","shirt"
"4/29/2016","561","10047.05","982469","shirt"
"2/3/2016","868","192860.75","1568582","shirt"
"7/24/2016","2385","1281788.46","4467995","shirt"
"12/8/2016","462","10655.38","866358","shirt"
"9/28/2016","500","119965.01","957420","shirt"
"3/18/2016","523","45877.26","935867","shirt"
"2/10/2016","1069","397489.78","1929761","shirt"
"3/3/2016","589","31111.98","1021801","shirt"
"10/14/2016","703","194610.41","1364717","shirt"
"1/7/2016","775","251420.93","1387005","shirt"
"5/31/2016","768","336762.68","1398092","shirt"
"4/16/2016","1048","39407.45","1877512","shirt"
"3/30/2016","462","63915.2","830528","shirt"
"1/3/2016","1637","556444.28","2943443","shirt"
"12/6/2016","353","11961.08","689887","shirt"
"12/29/2016","1566","602540.1","3092364","shirt"
"1/26/2016","2298","1178541.56","4164582","shirt"
"6/26/2016","1293","570763.21","2443057","shirt"
"3/20/2016","964","63792.5","1737296","shirt"
"1/5/2016","704","240245.33","1259026","shirt"
"2/29/2016","521","46277.82","902769","shirt"
"9/29/2016","426","105625.27","827124","shirt"
"8/7/2016","1906","908500.41","3614164","shirt"
"10/9/2016","1676","496734","3231244","shirt"
"8/13/2016","2248","1250017.93","4248092","shirt"
"2/12/2016","1234","537790.04","2228966","shirt"
"5/3/2016","442","14529.44","769188","shirt"
"10/29/2016","2202","650609.44","4294428","shirt"
"7/5/2016","1511","693375.27","2837679","shirt"
"1/1/2016","831","209547.22","1476259","shirt"
"3/24/2016","379","30602.68","675581","shirt"
"7/29/2016","927","544302.72","1736493","shirt"
"11/1/2016","964","255700.35","1829086","shirt"
"12/1/2016","556","20978.24","1044444","shirt"
"7/10/2016","2755","1380533.27","5174965","shirt"
"1/25/2016","1103","496033.69","1977307","shirt"
"6/10/2016","362","58127.31","648228","shirt"
"8/20/2016","546","21633.57","1021574","shirt"
"4/30/2016","725","14476.7","1264495","shirt"
"8/19/2016","340","6791.61","629730","shirt"
"11/21/2016","472","17324.93","898308","shirt"
"5/23/2016","550","201188","1000240","shirt"
"8/6/2016","1341","622004.47","2530369","shirt"
"4/2/2016","794","22534.75","1443156","shirt"
"12/17/2016","524","13329.4","1006106","shirt"
"2/11/2016","1069","369185.49","1913611","shirt"
"5/21/2016","977","397776.84","1764783","shirt"
"4/11/2016","527","17015.16","951693","shirt"
"10/6/2016","740","199324.47","1438650","shirt"
"4/28/2016","559","22908.07","981431","shirt"
"4/8/2016","846","28484.59","1524494","shirt"
"7/13/2016","1047","469131.22","1958993","shirt"
"8/25/2016","413","15212.24","772167","shirt"
"11/3/2016","679","182390.05","1300791","shirt"
"12/4/2016","886","22224.77","1681794","shirt"
"2/15/2016","511","34695.27","899379","shirt"
"10/28/2016","2094","611986.3","4056106","shirt"
"2/24/2016","601","45391.77","1067289","shirt"
"3/27/2016","875","86129.33","1583475","shirt"
"11/29/2016","420","10404.74","792720","shirt"
"9/19/2016","366","77601.47","696374","shirt"
"11/18/2016","581","39151.53","1115469","shirt"
"7/19/2016","933","528606.63","1759217","shirt"
"10/26/2016","1231","373340.09","2414569","shirt"
"12/16/2016","357","11587.39","683103","shirt"
"12/20/2016","374","7467.28","719986","shirt"
"12/12/2016","386","10955.2","732544","shirt"
"9/9/2016","579","85296.58","1100651","shirt"
"2/23/2016","562","35228.07","1002628","shirt"
"3/4/2016","608","49327.05","1082422","shirt"
"4/3/2016","1061","34537.6","1945859","shirt"
"7/14/2016","999","524802.43","1874041","shirt"
"7/4/2016","1461","731981.49","2768849","shirt"
"6/21/2016","2025","1173659.19","3875105","shirt"
"8/16/2016","232","1712.75","434548","shirt"
"5/18/2016","382","25294.83","671278","shirt"
"10/13/2016","648","185332.8","1265172","shirt"
"1/22/2016","702","192625.5","1256488","shirt"
"10/30/2016","1331","389819.03","2551799","shirt"
"12/7/2016","442","11834.91","838488","shirt"
"6/6/2016","371","56811.7","662059","shirt"
"4/15/2016","865","30944.09","1562965","shirt"
"11/11/2016","482","77594.68","899548","shirt"
"8/2/2016","806","413848.3","1520424","shirt"
"3/17/2016","526","38719.83","950894","shirt"
"5/20/2016","634","231419.78","1135216","shirt"
"5/29/2016","1129","469972.31","2050531","shirt"
"6/23/2016","3226","1973146.4","6130154","shirt"
"12/18/2016","734","23512.27","1416266","shirt"
"8/21/2016","595","16330.34","1118375","shirt"
"7/9/2016","2458","1273720.3","4614892","shirt"
"12/23/2016","1884","632238.79","3732956","shirt"
"4/26/2016","550","22093.68","958210","shirt"
"10/2/2016","1711","485024.56","3286509","shirt"
"7/11/2016","1007","484928.27","1893453","shirt"
"7/23/2016","1884","1052788.66","3541996","shirt"
"1/19/2016","767","223413.79","1381083","shirt"
"10/5/2016","726","182509.24","1397614","shirt"
"5/5/2016","509","19856.25","891281","shirt"
"1/29/2016","824","232263.43","1482896","shirt"
"3/15/2016","394","26037.22","701366","shirt"
"5/11/2016","410","38180.35","711310","shirt"
"9/10/2016","920","55682.77","1748490","shirt"
"12/19/2016","352","12622.61","655328","shirt"
"8/18/2016","281","4081.89","524139","shirt"
"12/3/2016","747","21530.05","1424703","shirt"
"4/20/2016","765","31343.93","1346885","shirt"
"3/13/2016","933","77735.51","1670627","shirt"
"9/4/2016","1011","45874.43","1902389","shirt"
"8/9/2016","765","403126.48","1444835","shirt"
"9/15/2016","324","16847.64","608876","shirt"
"3/5/2016","909","87468","1614381","shirt"
"11/9/2016","502","156828.83","959858","shirt"
"8/31/2016","414","15159.7","771186","shirt"
"9/2/2016","412","9282.54","777058","shirt"
"2/13/2016","2085","917131.53","3748795","shirt"
"8/4/2016","793","406454.28","1496737","shirt"
"7/27/2016","644","355325.95","1213706","shirt"
"5/22/2016","1230","538158.41","2243390","shirt"
"9/16/2016","414","78343.71","789706","shirt"
"9/1/2016","479","19469.68","893811","shirt"
"4/12/2016","547","20099.99","983073","shirt"
"8/24/2016","304","11990.43","564686","shirt"
"6/7/2016","411","68296.44","722619","shirt"
"8/5/2016","769","386321.74","1434591","shirt"
"11/5/2016","1101","298189.56","2096319","shirt"
"1/11/2016","908","304938.12","1636512","shirt"
"8/11/2016","861","435124.84","1625919","shirt"
"4/18/2016","647","17082.41","1156013","shirt"
"5/10/2016","408","53765.93","702122","shirt"
"9/13/2016","587","28131.78","1105393","shirt"
"8/29/2016","273","10778.94","504577","shirt"
"10/12/2016","805","226247.95","1544335","shirt"
"1/8/2016","865","297242.15","1557125","shirt"
"12/14/2016","315","10401.5","605315","shirt"
"1/30/2016","1394","398093.47","2515436","shirt"
"1/9/2016","1929","760428.71","3476551","shirt"
"11/19/2016","811","60308.05","1532579","shirt"
"11/8/2016","698","191955.41","1306412","shirt"
"5/14/2016","972","248735.71","1739948","shirt"
"11/22/2016","481","17140.14","915709","shirt"
"6/11/2016","648","113115.86","1171692","shirt"
"6/1/2016","326","31937.11","583094","shirt"
"1/10/2016","2447","945171.04","4408483","shirt"
"6/2/2016","368","52245.85","657792","shirt"
"5/6/2016","568","13727.23","993762","shirt"
"11/13/2016","1004","192531.6","1885736","shirt"
"12/11/2016","670","24761.6","1295610","shirt"
"3/11/2016","475","30162.92","849085","shirt"
"9/12/2016","494","25208.55","931696","shirt"
"3/12/2016","823","43682.88","1467437","shirt"
"6/14/2016","355","65278.08","638525","shirt"
"2/14/2016","2458","1182683.5","4446382","shirt"
"11/26/2016","771","22433.51","1475469","shirt"
"4/23/2016","1754","497350.01","3075346","shirt"
"10/16/2016","1612","501069.85","3152238","shirt"
"5/13/2016","557","130423.37","981073","shirt"
"11/20/2016","1176","90608.4","2215174","shirt"
"7/31/2016","2586","1387176.22","4892774","shirt"
"7/28/2016","877","466132.28","1663003","shirt"
"8/27/2016","656","20579.39","1227854","shirt"
"3/14/2016","454","41968.8","800706","shirt"
"12/28/2016","1407","560420.05","2772443","shirt"
"5/30/2016","605","265129.53","1107455","shirt"
"10/17/2016","604","170718.45","1177976","shirt"
"1/12/2016","805","225234.41","1442485","shirt"
"11/30/2016","453","10782.95","878707","shirt"
"3/21/2016","535","48487.12","960845","shirt"
"6/8/2016","398","67815.11","712812","shirt"
"5/2/2016","447","13529.08","785473","shirt"
"10/14/2018","1377","421611.99","2564381","shirt"
"7/29/2018","3266","2648985.27","6362975","shirt"
"12/21/2018","2320","1732309.3","4425631","shirt"
"6/10/2018","1297","341927.4","2470326","shirt"
"9/27/2018","397","97705.71","710005","shirt"
"8/18/2018","1019","539061.53","1989718","shirt"
"7/26/2018","1091","884954.35","2134910","shirt"
"11/18/2018","951","199204.1","1782186","shirt"
"9/28/2018","312","70667.68","563869","shirt"
"4/1/2018","837","22916.4","1541263","shirt"
"11/1/2018","1006","307951.82","1908573","shirt"
"1/9/2018","656","364003.36","1295894","shirt"
"4/12/2018","585","40308.79","1092916","shirt"
"5/10/2018","482","12569.92","910919","shirt"
"7/23/2018","911","732038.36","1768462","shirt"
"12/14/2018","504","97244.08","946177","shirt"
"4/17/2018","617","24262.16","1156225","shirt"
"8/21/2018","444","46653.97","824169","shirt"
"4/14/2018","1141","62436.1","2135089","shirt"
"11/9/2018","902","294624.68","1683195","shirt"
"9/1/2018","486","26450.19","880614","shirt"
"5/12/2018","747","79247.38","1407953","shirt"
"4/2/2018","350","6389.57","645311","shirt"
"8/27/2018","328","29772.88","599894","shirt"
"10/23/2018","431","117419.83","801036","shirt"
"1/19/2019","1975","1551468.12","3773625","shirt"
"1/21/2019","596","366102.34","1120304","shirt"
"3/15/2019","401","112920.22","752499","shirt"
"1/7/2019","607","324004.13","1155729","shirt"
"3/11/2019","271","81095.86","502429","shirt"
"7/1/2018","1937","1133615.88","3803764","shirt"
"11/25/2018","986","245507.66","1844456","shirt"
"7/15/2018","2760","2261228.41","5385470","shirt"
"7/4/2018","762","425731.58","1490190","shirt"
"2/10/2018","581","40085.35","1023199","shirt"
"6/12/2018","1282","899060.77","2506518","shirt"
"3/10/2018","657","29864.73","1197444","shirt"
"8/5/2018","1430","982799.46","2836223","shirt"
"6/9/2018","938","233756.58","1799983","shirt"
"7/11/2018","625","352266.16","1226218","shirt"
"9/21/2018","465","71522.33","844535","shirt"
"11/30/2018","460","19427.79","845321","shirt"
"3/1/2018","483","24848.25","885147","shirt"
"12/7/2018","662","118275.83","1240451","shirt"
"7/21/2018","1945","1502483.1","3777799","shirt"
"3/9/2018","378","15718.57","682222","shirt"
"6/24/2018","1800","1076829.32","3523400","shirt"
"12/13/2018","602","111076.05","1121810","shirt"
"3/30/2018","783","135265.62","1441217","shirt"
"8/10/2018","613","384887.87","1206887","shirt"
"3/15/2018","353","17606.19","646047","shirt"
"9/10/2018","245","11681.48","448355","shirt"
"3/18/2019","401","103020.63","750999","shirt"
"3/22/2019","418","119146.28","780982","shirt"
"11/11/2018","1044","274866.14","1954719","shirt"
"11/19/2018","510","127960.33","956746","shirt"
"5/16/2018","413","40167.74","781487","shirt"
"1/13/2018","2474","1776945.14","4876828","shirt"
"9/16/2018","622","53956.04","1127583","shirt"
"4/16/2018","543","30206.08","1020557","shirt"
"8/25/2018","592","24556.06","1080851","shirt"
"5/7/2018","412","13906.27","776688","shirt"
"2/20/2018","319","14827.43","570831","shirt"
"5/30/2018","578","146283.98","1087723","shirt"
"1/2/2018","557","321096.5","1089593","shirt"
"1/3/2018","515","278557.37","1004385","shirt"
"2/11/2018","620","53566.52","1093280","shirt"
"1/5/2018","544","297034.17","1054756","shirt"
"10/4/2018","357","81846.05","645945","shirt"
"9/15/2018","451","24982.41","814749","shirt"
"3/2/2018","341","10824.51","620359","shirt"
"1/16/2019","780","511024.59","1488520","shirt"
"1/27/2019","2624","2120852.05","5024526","shirt"
"1/23/2019","698","409048.06","1313502","shirt"
"2/5/2019","497","244726.17","938403","shirt"
"3/29/2019","450","121588.29","854250","shirt"
"3/9/2019","660","158692.53","1232740","shirt"
"3/14/2019","409","117752.4","761791","shirt"
"3/5/2019","295","71579.16","548386","shirt"
"3/12/2019","312","84199.08","588288","shirt"
"1/23/2018","876","670807.15","1743034","shirt"
"11/12/2018","477","132741.08","890904","shirt"
"12/29/2018","1067","586434.03","2023283","shirt"
"10/19/2018","847","242864.51","1577853","shirt"
"11/4/2018","2968","973806.45","5655831","shirt"
"6/20/2018","768","425464.34","1494532","shirt"
"7/6/2018","1642","1266774.96","3221709","shirt"
"11/29/2018","411","20175.72","769589","shirt"
"2/2/2018","913","642994.69","1788087","shirt"
"2/12/2018","267","19305.61","461493","shirt"
"6/27/2018","879","517900.93","1714021","shirt"
"4/29/2018","1315","386964.7","2467315","shirt"
"6/11/2018","496","130897.59","938945","shirt"
"8/1/2018","546","370494.02","1081596","shirt"
"6/14/2018","3073","2521907.1","6030318","shirt"
"12/1/2018","703","22891.49","1310871","shirt"
"3/11/2018","719","29916.73","1306081","shirt"
"7/9/2018","645","356333.7","1262687","shirt"
"11/21/2018","638","169241.42","1207862","shirt"
"12/26/2018","776","394614.84","1468294","shirt"
"11/7/2018","1099","326995.95","2082719","shirt"
"8/13/2018","549","311374.2","1088813","shirt"
"5/22/2018","473","93560.15","902327","shirt"
"2/4/2018","2194","1606585.06","4312636","shirt"
"12/4/2018","530","88921.14","969932","shirt"
"8/2/2018","583","387502.87","1143870","shirt"
"3/25/2018","708","23671.53","1280192","shirt"
"7/24/2018","895","719248.54","1738786","shirt"
"11/28/2018","387","16499.97","718113","shirt"
"5/25/2018","442","100380.76","845658","shirt"
"2/6/2018","282","9116.61","499018","shirt"
"3/21/2018","323","11649.26","594377","shirt"
"12/17/2018","434","75475.19","802366","shirt"
"3/16/2018","383","15076.94","707617","shirt"
"2/19/2019","331","7464.66","598969","shirt"
"1/8/2019","626","342969.62","1182112","shirt"
"1/28/2019","733","559616.01","1404430","shirt"
"3/8/2019","417","90859.64","777983","shirt"
"1/17/2019","827","515571.26","1572440","shirt"
"2/27/2019","247","19162.31","462853","shirt"
"1/11/2019","790","432607.48","1497510","shirt"
"2/15/2019","404","126080.42","737996","shirt"
"2/18/2019","246","8059.14","442154","shirt"
"2/21/2018","341","14698.96","624159","shirt"
"11/3/2018","1818","569122.94","3459804","shirt"
"10/6/2018","683","178995.79","1253517","shirt"
"12/16/2018","1011","185812.86","1877889","shirt"
"9/20/2018","307","29436.36","569293","shirt"
"12/22/2018","3892","3122347.87","7471153","shirt"
"7/28/2018","2072","1671132.34","4058770","shirt"
"10/9/2018","458","121815.29","841589","shirt"
"12/2/2018","950","22328.33","1759704","shirt"
"12/5/2018","511","88289.67","936989","shirt"
"2/1/2018","886","604784.96","1723477","shirt"
"10/31/2018","716","223222.2","1355464","shirt"
"7/27/2018","1235","1011808.86","2420346","shirt"
"11/22/2018","532","122663.87","999434","shirt"
"6/4/2018","428","93467.25","817573","shirt"
"4/13/2018","654","40966.84","1189246","shirt"
"12/18/2018","1527","1125075.16","2935323","shirt"
"1/17/2018","640","339515.17","1246660","shirt"
"3/8/2018","368","12655.25","669902","shirt"
"7/5/2018","801","444935.59","1555511","shirt"
"8/31/2018","325","22206.25","586061","shirt"
"5/23/2018","460","85939.09","884240","shirt"
"9/18/2018","305","19866.74","560338","shirt"
"1/24/2019","1142","881220.73","2170758","shirt"
"1/2/2019","621","331624.2","1161782","shirt"
"2/4/2019","368","152510.24","684332","shirt"
"3/27/2019","374","96596.3","702826","shirt"
"1/6/2019","1574","893433.77","2999565","shirt"
"2/13/2019","458","78972.11","839042","shirt"
"1/10/2019","652","349890.66","1236696","shirt"
"2/28/2019","264","18262.91","477236","shirt"
"8/7/2018","531","355787.34","1058410","shirt"
"5/28/2018","431","103706.09","820820","shirt"
"1/26/2018","2567","2061723.32","5068613","shirt"
"12/30/2018","1374","770964.87","2606148","shirt"
"6/15/2018","3324","2733884.02","6555488","shirt"
"11/27/2018","333","16489.39","619928","shirt"
"9/23/2018","649","166491.49","1197351","shirt"
"6/22/2018","870","476664.15","1692840","shirt"
"6/25/2018","745","428509.43","1455633","shirt"
"4/7/2018","743","37255.97","1378078","shirt"
"8/30/2018","315","20230.39","570068","shirt"
"9/11/2018","326","18332.55","592867","shirt"
"12/8/2018","1169","207633.3","2154849","shirt"
"5/20/2018","880","161006.43","1685650","shirt"
"5/19/2018","692","108346.21","1318208","shirt"
"4/9/2018","428","18265.57","788072","shirt"
"1/10/2018","697","393333.44","1368603","shirt"
"10/10/2018","534","156098.87","994324","shirt"
"10/16/2018","513","149467.07","952087","shirt"
"7/12/2018","661","367972.42","1286043","shirt"
"3/3/2019","737","171282.05","1363263","shirt"
"2/20/2019","337","21654.3","615263","shirt"
"3/23/2019","621","159858.59","1155079","shirt"
"2/17/2019","858","293800.7","1578042","shirt"
"2/26/2019","246","14429.83","453854","shirt"
"6/13/2018","4072","3450732.33","8020028","shirt"
"1/14/2018","2176","1607671.28","4330254","shirt"
"6/16/2018","4009","3299374.59","7876591","shirt"
"2/27/2018","387","15949.17","713413","shirt"
"1/15/2018","768","411326.86","1495682","shirt"
"10/7/2018","1071","305961.76","1976771","shirt"
"6/17/2018","4514","3713608.25","8862586","shirt"
"6/2/2018","735","157372.25","1391251","shirt"
"12/10/2018","600","101195.5","1113356","shirt"
"8/9/2018","548","348591.53","1084802","shirt"
"2/25/2018","687","18029.3","1244615","shirt"
"1/1/2018","915","491514.64","1769315","shirt"
"6/8/2018","547","140978.31","1046253","shirt"
"6/23/2018","1357","788343.51","2670038","shirt"
"5/8/2018","434","12225.58","824866","shirt"
"9/30/2018","849","243561.49","1550834","shirt"
"5/31/2018","655","169518.89","1254987","shirt"
"4/24/2018","589","12962.1","1105112","shirt"
"10/8/2018","419","115150.72","776283","shirt"
"3/24/2019","858","224701.23","1601642","shirt"
"2/6/2019","415","149230.87","774585","shirt"
"2/14/2019","373","59779.64","677927","shirt"
"2/18/2018","662","29964.41","1184588","shirt"
"1/25/2018","956","748889.14","1889295","shirt"
"2/14/2018","369","14339.37","658131","shirt"
"1/18/2018","669","334690.25","1297731","shirt"
"7/2/2018","700","391318.44","1371862","shirt"
"3/17/2018","650","25298.28","1198850","shirt"
"8/3/2018","594","416263.13","1174236","shirt"
"5/18/2018","413","50634.18","782887","shirt"
"10/15/2018","559","152751.42","1040841","shirt"
"5/13/2018","720","22547.04","1360210","shirt"
"1/29/2018","747","535803.7","1447394","shirt"
"7/18/2018","969","758188.29","1900231","shirt"
"12/27/2018","708","385631.07","1352802","shirt"
